"","transactionid","commitdate","ns","nm","nf","entropy","la","ld","lt","fix","ndev","pd","npt","exp","rexp","sexp","bug"
"17",17,"2008-02-27 10:21:27",13,1,4,1.75993052956409,0.0126382306477093,0.00552922590837283,1266,0,13,1,0.439982632391023,13,1,1.75993052956409,0
"18",18,"2007-09-20 14:13:23",73,14,16,4,0,0,0,0,73,14,0.25,73,14,4,0
"19",19,"2011-03-07 13:02:58",21,1,4,1.61357313888977,0.416352201257862,0.00125786163522013,795,0,21,1,0.403393284722442,21,1,1.61357313888977,1
"20",20,"2014-08-13 11:15:29",8,1,1,0,0,0.00241691842900302,1655,0,8,1,0,8,1,0,0
"21",21,"2006-07-23 10:05:29",8,1,3,1.31096151540296,0.975409836065574,0,122,1,8,1,0.436987171800986,8,1,1.31096151540296,0
"22",22,"2009-07-03 14:34:46",9,1,1,0,0.984375,0,64,0,9,1,0,9,1,0,1
"23",23,"2012-08-28 10:17:58",8,1,2,0.70246655129039,0.0275590551181102,0,762,0,8,1,0.351233275645195,8,1,0.70246655129039,0
"24",24,"2012-01-23 13:29:34",9,1,1,0,0.997722095671982,0,439,0,9,1,0,9,1,0,0
"25",25,"2008-04-11 14:03:57",8,1,1,0,1,0,43,0,8,1,0,8,1,0,0
"26",26,"2013-11-22 11:25:08",15,1,2,1,0.985074626865672,0.985074626865672,67,1,15,1,0.5,15,1,1,0
"27",27,"2006-04-12 15:52:06",7,1,1,0,0.00129198966408269,0.00387596899224806,774,0,7,1,0,7,1,0,0
"28",28,"2006-02-24 15:08:40",8,1,1,0,0.139344262295082,0.00819672131147541,122,0,8,1,0,8,1,0,0
"29",29,"2015-09-21 17:13:36",8,1,1,0,0,0,0,0,8,1,0,8,1,0,0
"30",30,"2010-11-25 10:05:57",3,1,1,0,0.0816326530612245,0.0102040816326531,98,0,3,1,0,3,1,0,0
"31",31,"2009-10-23 15:51:45",9,1,2,0.896038232534557,0.0326876513317191,0.00605326876513317,826,0,9,1,0.448019116267279,9,1,0.896038232534557,0
"32",32,"2015-03-04 18:40:31",9,1,1,0,0.361702127659574,0.170212765957447,141,0,9,1,0,9,1,0,0
"33",33,"2007-10-19 12:32:51",0,0,1,0,0.000901713255184851,0.000901713255184851,1109,0,0,0,0,0,0,0,0
"34",34,"2017-05-29 11:21:00",9,1,1,0,0.00390625,0.00390625,256,0,9,1,0,9,1,0,0
"35",35,"2008-11-20 15:43:28",0,0,1,0,0.217877094972067,0.00558659217877095,179,0,0,0,0,0,0,0,0
"36",36,"2011-11-28 14:37:15",8,1,1,0,0.986666666666667,0,75,0,8,1,0,8,1,0,0
"37",37,"2008-04-01 19:35:48",28,3,9,1.82594168233111,0.0634037819799778,0.0305895439377086,1798,1,28,3,0.202882409147901,28,3,1.82594168233111,0
"38",38,"2007-06-22 17:12:26",8,1,1,0,0.160714285714286,0,112,0,8,1,0,8,1,0,0
"39",39,"2007-12-20 16:23:16",24,21,25,4.62351664121801,0.00539979231568017,0.00539979231568017,4815,0,24,21,0.184940665648721,24,21,4.62351664121801,1
"40",40,"2016-02-26 20:58:39",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"41",41,"2018-05-18 14:44:05",18,2,2,0.200622324312715,0.0333333333333333,0.0111111111111111,1440,1,18,2,0.100311162156357,18,2,0.200622324312715,0
"42",42,"2006-01-05 17:09:05",16,1,11,3.01603114663342,0.0658852061438965,0.0270816491511722,2474,0,16,1,0.274184649693947,16,1,3.01603114663342,1
"43",43,"2015-02-25 14:32:10",19,2,6,0.891657712267233,0.120224719101124,0.00224719101123596,1780,0,19,2,0.148609618711206,19,2,0.891657712267233,0
"44",44,"2012-09-21 07:36:48",8,1,2,0.88654089282209,0.0122306348281887,0.0011648223645894,1717,0,8,1,0.443270446411045,8,1,0.88654089282209,0
"45",45,"2010-08-06 13:35:45",9,1,1,0,0.000809061488673139,0,1236,1,9,1,0,9,1,0,0
"46",46,"2006-04-11 17:29:26",18,1,2,0.276195427647939,0.976190476190476,0.0238095238095238,42,0,18,1,0.13809771382397,18,1,0.276195427647939,0
"47",47,"2015-10-30 14:10:55",18,2,2,0.220566768517836,0.371916508538899,0.00379506641366224,527,1,18,2,0.110283384258918,18,2,0.220566768517836,0
"48",48,"2008-02-28 16:45:17",11,1,1,0,0,0.00452488687782805,442,0,11,1,0,11,1,0,0
"49",49,"2012-05-02 13:12:05",0,0,1,0,0.00074019245003701,0.00074019245003701,1351,1,0,0,0,0,0,0,0
"50",50,"2007-03-05 15:41:17",10,1,6,1.23370527888514,0.0572631578947368,0.0294736842105263,2375,1,10,1,0.205617546480856,10,1,1.23370527888514,0
"51",51,"2013-06-12 14:18:51",18,2,2,0.994030211476956,0.204081632653061,0.0428571428571429,980,1,18,2,0.497015105738478,18,2,0.994030211476956,0
"52",52,"2016-11-04 08:29:54",21,2,12,3.04279150648777,0.191218948584633,0.0231080300404391,1731,0,21,2,0.253565958873981,21,2,3.04279150648777,0
"53",53,"2013-08-23 22:47:09",8,1,1,0,0.00844594594594595,0.000675675675675676,2960,0,8,1,0,8,1,0,0
"54",54,"2019-07-26 11:28:14",58,5,14,2.55710485258109,0.0108488770460601,0.022459078797107,5254,0,58,5,0.182650346612935,58,5,2.55710485258109,0
"55",55,"2017-03-15 12:41:25",11,1,2,0.961236604722876,0.00490196078431373,0.00217864923747277,1836,0,11,1,0.480618302361438,11,1,0.961236604722876,0
"56",56,"2008-03-20 17:49:45",10,1,2,1,0.00161290322580645,0.00161290322580645,620,0,10,1,0.5,10,1,1,0
"57",57,"2011-08-03 13:35:35",9,1,1,0,0.00162932790224033,0.000407331975560081,2455,0,9,1,0,9,1,0,0
"58",58,"2017-03-03 11:23:23",17,2,5,1.63848964997871,0.0275152278932997,0.00987187565637471,4761,1,17,2,0.327697929995742,17,2,1.63848964997871,0
"59",59,"2006-03-01 13:06:55",9,1,1,0,0.0862068965517241,0.00313479623824451,638,0,9,1,0,9,1,0,1
"60",60,"2012-04-24 15:46:35",9,1,1,0,0.0161290322580645,0.00705645161290323,992,0,9,1,0,9,1,0,0
"61",61,"2011-07-15 11:36:27",14,1,3,1.41797344126489,0.0308008213552361,0.0328542094455852,487,0,14,1,0.472657813754962,14,1,1.41797344126489,0
"62",62,"2007-09-20 19:11:44",15,1,5,1.51006778686746,0.0227370227370227,0.012012012012012,2331,0,15,1,0.302013557373493,15,1,1.51006778686746,0
"63",63,"2006-01-03 13:56:01",4,1,1,0,0.0238095238095238,0,84,0,4,1,0,4,1,0,0
"64",64,"2013-06-05 18:29:35",17,2,3,1.25735064548368,0.110539845758355,0.115681233933162,389,0,17,2,0.419116881827895,17,2,1.25735064548368,0
"65",65,"2008-01-21 13:09:38",9,1,1,0,0.00298507462686567,0.00298507462686567,335,0,9,1,0,9,1,0,0
"66",66,"2016-07-26 13:45:41",16,2,2,0.503258334775646,0.00482160077145612,0.0038572806171649,1037,1,16,2,0.251629167387823,16,2,0.503258334775646,0
"67",67,"2015-02-11 12:42:46",15,2,3,0.783613882124629,0.207964601769911,0.0176991150442478,226,0,15,2,0.261204627374876,15,2,0.783613882124629,0
"68",68,"2009-05-05 13:28:59",14,1,2,0.208180945557171,0.306532663316583,0,199,0,14,1,0.104090472778586,14,1,0.208180945557171,0
"69",69,"2008-10-09 14:29:25",10,1,2,0.721928094887362,0.195266272189349,0.0118343195266272,169,0,10,1,0.360964047443681,10,1,0.721928094887362,0
"70",70,"2014-08-11 11:16:06",0,0,1,0,0.000612745098039216,0.000612745098039216,1632,0,0,0,0,0,0,0,0
"71",71,"2015-04-20 07:46:03",8,1,1,0,0.991150442477876,0,113,0,8,1,0,8,1,0,0
"72",72,"2013-09-05 14:41:10",4,1,2,1,0.00118483412322275,0,1688,0,4,1,0.5,4,1,1,0
"73",73,"2016-09-30 14:36:09",3,3,4,2,0.00194877505567929,0.000278396436525612,3592,1,3,3,0.5,3,3,2,0
"74",74,"2013-10-10 15:41:14",9,1,2,0.684038435639042,0.0139082058414465,0.00139082058414465,719,0,9,1,0.342019217819521,9,1,0.684038435639042,0
"75",75,"2013-07-24 04:09:15",9,1,1,0,0.00292397660818713,0.00292397660818713,342,1,9,1,0,9,1,0,1
"76",76,"2006-06-13 00:03:00",16,1,3,0.322431170241019,0.0637651821862348,0.0425101214574899,988,0,16,1,0.107477056747006,16,1,0.322431170241019,1
"77",77,"2016-06-30 18:52:35",0,0,1,0,0.000600961538461538,0.000600961538461538,1664,0,0,0,0,0,0,0,0
"78",78,"2018-04-17 08:23:59",9,1,1,0,0.00163065633917652,0.00122299225438239,2453,0,9,1,0,9,1,0,0
"79",79,"2012-10-16 20:05:01",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"80",80,"2012-07-20 22:53:07",15,1,3,0.490044434429989,0.0585233072473631,0,2939,1,15,1,0.163348144809996,15,1,0.490044434429989,0
"81",81,"2005-12-30 22:51:06",5,1,9,0.582393126675782,0.11270600744285,0.0143540669856459,1881,0,5,1,0.0647103474084202,5,1,0.582393126675782,0
"82",82,"2017-05-16 15:35:23",0,0,1,0,0.00117994100294985,0.00117994100294985,1695,0,0,0,0,0,0,0,0
"83",83,"2014-09-23 16:17:31",1,1,1,0,0.000822368421052632,0,1216,0,1,1,0,1,1,0,0
"84",84,"2015-02-19 16:34:32",20,1,5,1.65222274886885,0.0197914449882954,0.012768674185997,4699,0,20,1,0.330444549773771,20,1,1.65222274886885,0
"85",85,"2012-11-23 14:19:24",16,1,2,0.896038232534557,0.05,0.00714285714285714,280,0,16,1,0.448019116267279,16,1,0.896038232534557,0
"86",86,"2014-09-29 14:47:54",9,1,1,0,0.00862068965517241,0.00862068965517241,232,0,9,1,0,9,1,0,0
"87",87,"2009-10-23 08:11:17",9,1,2,0.130162790668259,0.139272271016311,0,797,0,9,1,0.0650813953341297,9,1,0.130162790668259,1
"88",88,"2018-05-21 14:26:45",18,2,2,0.485460760745913,0.0135746606334842,0.000754147812971342,2652,0,18,2,0.242730380372957,18,2,0.485460760745913,0
"89",89,"2010-06-14 16:25:57",23,1,5,1.61403740338966,0.435840707964602,0.0154867256637168,452,0,23,1,0.322807480677932,23,1,1.61403740338966,1
"90",90,"2012-02-02 11:14:30",4,1,3,0.642169405086907,0.00649350649350649,0.24025974025974,308,0,4,1,0.214056468362302,4,1,0.642169405086907,1
"91",91,"2011-02-23 10:33:41",8,1,1,0,0.00229357798165138,0.00229357798165138,436,0,8,1,0,8,1,0,0
"92",92,"2006-10-25 22:05:36",0,0,1,0,0.00208550573514077,0.00208550573514077,959,0,0,0,0,0,0,0,0
"93",93,"2011-01-26 12:14:07",8,1,1,0,0.00132978723404255,0.00132978723404255,752,0,8,1,0,8,1,0,0
"94",94,"2013-05-24 14:10:23",16,2,2,0.165761028190058,0.256631708821715,0.222702035780382,1621,1,16,2,0.082880514095029,16,2,0.165761028190058,0
"95",95,"2013-11-12 10:55:41",9,1,1,0,0.0991735537190083,0.0413223140495868,121,0,9,1,0,9,1,0,0
"96",96,"2015-01-04 12:50:32",4,1,1,0,0.0796875,0.01875,640,0,4,1,0,4,1,0,0
"97",97,"2012-10-02 12:08:45",28,24,29,4.75,0.00447802966694654,0.00447802966694654,7146,0,28,24,0.163793103448276,28,24,4.75,0
"98",98,"2008-08-19 12:04:13",8,1,3,1.2987949406954,0.0176991150442478,0.0176991150442478,226,1,8,1,0.432931646898466,8,1,1.2987949406954,0
"99",99,"2018-09-24 07:34:36",9,1,1,0,0.179611650485437,0.0533980582524272,206,0,9,1,0,9,1,0,0
"100",100,"2008-09-03 13:06:33",9,1,1,0,0.00869565217391304,0.00869565217391304,115,1,9,1,0,9,1,0,0
"101",101,"2009-01-29 20:44:21",8,1,1,0,0.0555555555555556,0.00617283950617284,162,0,8,1,0,8,1,0,0
"102",102,"2017-10-15 09:41:32",1,1,2,0.94566030460064,0.00454086781029263,0.00100908173562059,1982,0,1,1,0.47283015230032,1,1,0.94566030460064,0
"103",103,"2010-02-03 06:54:28",4,1,1,0,0.0294117647058824,0,68,1,4,1,0,4,1,0,0
"104",104,"2010-01-28 20:00:48",9,1,1,0,0.0110935023771791,0.0063391442155309,631,0,9,1,0,9,1,0,0
"105",105,"2006-03-28 21:27:06",1,1,1,0,0.018957345971564,0,211,1,1,1,0,1,1,0,0
"106",106,"2014-12-22 12:44:41",9,1,1,0,0.000314366551398931,0.000314366551398931,3181,1,9,1,0,9,1,0,0
"107",107,"2015-02-23 19:53:14",7,1,4,1.70106259075157,0.181102362204724,0.170603674540682,762,0,7,1,0.425265647687892,7,1,1.70106259075157,0
"108",108,"2006-06-05 16:09:43",1,1,1,0,0.00641025641025641,0,312,0,1,1,0,1,1,0,0
"109",109,"2012-11-09 20:08:25",9,1,1,0,0.00122549019607843,0.00735294117647059,816,0,9,1,0,9,1,0,0
"110",110,"2013-12-04 12:08:28",9,1,2,0.345117314944953,0.0655430711610487,0.050561797752809,534,1,9,1,0.172558657472477,9,1,0.345117314944953,0
"111",111,"2011-09-28 19:10:40",9,1,1,0,0.00675675675675676,0.00675675675675676,296,1,9,1,0,9,1,0,0
"112",112,"2010-02-03 10:23:34",9,1,2,0.985228136034252,0.0289389067524116,0.0160771704180064,311,0,9,1,0.492614068017126,9,1,0.985228136034252,0
"113",113,"2006-07-13 16:08:42",5,1,2,0,0,0,1,0,5,1,0,5,1,0,0
"114",114,"2008-03-21 03:29:33",8,1,1,0,0.0170876671619614,0.0178306092124814,1346,0,8,1,0,8,1,0,0
"115",115,"2013-01-09 18:26:27",9,1,1,0,0.189189189189189,0.189189189189189,111,0,9,1,0,9,1,0,0
"116",116,"2013-11-15 15:51:15",9,1,1,0,0.014336917562724,0.010752688172043,279,0,9,1,0,9,1,0,0
"117",117,"2017-01-16 11:11:45",8,1,1,0,0.0202702702702703,0.0135135135135135,148,0,8,1,0,8,1,0,0
"118",118,"2012-08-20 17:50:10",18,1,2,0.213026057292825,0.130616509926855,0.0240334378265413,957,1,18,1,0.106513028646412,18,1,0.213026057292825,0
"119",119,"2007-03-14 14:45:12",4,1,2,0.91829583405449,0.00790861159929701,0.00263620386643234,1138,0,4,1,0.459147917027245,4,1,0.91829583405449,0
"120",120,"2013-10-14 16:55:42",9,1,1,0,0.00892857142857143,0,112,0,9,1,0,9,1,0,0
"121",121,"2013-10-10 16:33:37",3,1,3,1.58496250072116,0.00952380952380952,0.00952380952380952,315,0,3,1,0.528320833573719,3,1,1.58496250072116,0
"122",122,"2008-04-18 15:45:29",10,1,2,0.970950594454669,0.0243111831442464,0.0243111831442464,617,0,10,1,0.485475297227334,10,1,0.970950594454669,0
"123",123,"2010-07-13 11:08:35",9,1,1,0,0.0384615384615385,0,78,0,9,1,0,9,1,0,0
"124",124,"2006-01-06 19:18:02",4,1,1,0,0.0901639344262295,0.0573770491803279,244,0,4,1,0,4,1,0,0
"125",125,"2011-07-25 11:08:52",31,1,12,2.80116308461109,0.0961489415965315,0.0298393267023718,3921,0,31,1,0.233430257050924,31,1,2.80116308461109,1
"126",126,"2016-06-23 11:03:06",9,1,2,1,0.207605344295992,0.166495375128469,973,0,9,1,0.5,9,1,1,0
"127",127,"2010-09-18 02:24:21",26,23,27,4.57969177895343,0.00548866855524079,0.00548866855524079,5648,0,26,23,0.169618214035312,26,23,4.57969177895343,0
"128",128,"2016-11-22 10:49:10",0,0,1,0,0.000598802395209581,0.000598802395209581,1670,1,0,0,0,0,0,0,0
"129",129,"2015-10-30 16:28:53",18,1,2,0.995727452084926,0.0122448979591837,0.0054421768707483,1470,0,18,1,0.497863726042463,18,1,0.995727452084926,0
"130",130,"2007-02-17 07:30:08",10,1,3,1.38298392498452,0.0683760683760684,0.0759734093067426,1053,0,10,1,0.460994641661505,10,1,1.38298392498452,0
"131",131,"2009-09-14 14:04:19",17,2,2,1,0.000773395204949729,0,2586,0,17,2,0.5,17,2,1,0
"132",132,"2011-08-18 11:14:49",7,1,1,0,0.0223214285714286,0.00892857142857143,224,0,7,1,0,7,1,0,0
"133",133,"2016-06-09 11:09:18",18,1,3,1.28664267971377,0.168147208121827,0.0323604060913706,1576,0,18,1,0.428880893237923,18,1,1.28664267971377,0
"134",134,"2013-05-30 18:07:54",16,1,2,0.669181760026121,0.145579268292683,0.111280487804878,1312,0,16,1,0.33459088001306,16,1,0.669181760026121,0
"135",135,"2008-10-28 12:07:27",9,1,1,0,0.00259067357512953,0.00259067357512953,386,0,9,1,0,9,1,0,0
"136",136,"2017-11-01 11:26:36",18,2,2,1,0.00319561743894088,0.00136955033097466,4381,0,18,2,0.5,18,2,1,0
"137",137,"2013-03-01 16:56:26",8,1,1,0,0.094017094017094,0.0427350427350427,117,1,8,1,0,8,1,0,0
"138",138,"2019-01-14 10:54:33",0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0
"139",139,"2010-04-02 09:14:05",7,1,2,1,0.0153846153846154,0.0153846153846154,130,1,7,1,0.5,7,1,1,0
"140",140,"2006-04-28 14:07:27",7,1,1,0,1,0,173,0,7,1,0,7,1,0,1
"141",141,"2009-09-15 07:14:21",4,1,2,0.811278124459133,0.00691562932226833,0.004149377593361,1446,0,4,1,0.405639062229566,4,1,0.811278124459133,1
"142",142,"2008-02-28 16:42:30",11,1,1,0,0.0247747747747748,0.0833333333333333,444,0,11,1,0,11,1,0,1
"143",143,"2010-07-21 08:59:42",17,1,7,1.99870416915587,0.121933085501859,0,1345,0,17,1,0.285529167022267,17,1,1.99870416915587,1
"144",144,"2006-10-26 10:28:08",1,1,1,0,0.00478468899521531,0.00239234449760766,418,0,1,1,0,1,1,0,0
"145",145,"2008-05-27 13:51:42",19,1,3,1.28960855834815,0.0941828254847645,0,361,1,19,1,0.429869519449384,19,1,1.28960855834815,0
"146",146,"2019-01-16 14:10:02",16,2,5,2.08116896172503,0.104776579352851,0.0400616332819723,1298,1,16,2,0.416233792345006,16,2,2.08116896172503,0
"147",147,"2013-10-24 12:59:15",17,1,4,1.89420960058768,0.168115942028985,0.00676328502415459,1035,1,17,1,0.473552400146919,17,1,1.89420960058768,0
"148",148,"2016-11-21 15:42:25",4,1,1,0,0.0641025641025641,0.0641025641025641,78,0,4,1,0,4,1,0,0
"149",149,"2008-05-22 11:38:33",14,1,3,1.04357066161878,0.319095477386935,0.0477386934673367,398,1,14,1,0.347856887206259,14,1,1.04357066161878,0
"150",150,"2017-10-06 16:21:15",15,1,2,0.445693177722561,0.300970873786408,0.0129449838187702,309,0,15,1,0.222846588861281,15,1,0.445693177722561,0
"151",151,"2012-06-21 10:11:22",8,1,1,0,0.0141509433962264,0.0141509433962264,212,0,8,1,0,8,1,0,0
"152",152,"2008-03-10 20:35:34",17,1,21,4.09340827309073,0.0252989083347773,0.00953041067405995,5771,1,17,1,0.194924203480511,17,1,4.09340827309073,0
"153",153,"2013-12-05 12:01:44",6,1,2,1,0.00675675675675676,0.00675675675675676,296,1,6,1,0.5,6,1,1,0
"154",154,"2012-12-12 16:48:14",7,1,1,0,0.00144092219020173,0.00144092219020173,2082,0,7,1,0,7,1,0,0
"155",155,"2006-05-02 08:41:20",0,0,1,0,0.00243605359317905,0.00243605359317905,821,0,0,0,0,0,0,0,0
"156",156,"2011-04-13 17:49:29",27,2,10,2.49520046253049,0.217433414043584,0.0169491525423729,2065,1,27,2,0.249520046253049,27,2,2.49520046253049,1
"157",157,"2006-02-24 18:44:43",3,1,1,0,0.0666666666666667,0.146666666666667,75,0,3,1,0,3,1,0,0
"158",158,"2016-12-19 10:16:25",10,2,2,1,0.0148148148148148,0,135,0,10,2,0.5,10,2,1,0
"159",159,"2006-08-03 04:08:06",7,1,1,0,0.735294117647059,0.661764705882353,68,0,7,1,0,7,1,0,0
"160",160,"2009-04-20 10:18:31",8,1,1,0,0.0160642570281124,0.0160642570281124,498,0,8,1,0,8,1,0,0
"161",161,"2009-08-04 13:36:39",28,1,25,3.25582096291188,0.0276710222905457,0.0730207532667179,2602,1,28,1,0.130232838516475,28,1,3.25582096291188,1
"162",162,"2012-11-06 22:05:06",20,1,15,2.85842505210431,0.42092955276235,0.404267757965507,3421,0,20,1,0.190561670140288,20,1,2.85842505210431,1
"163",163,"2006-01-05 20:39:41",16,1,4,1.50254675505779,0.072850487081745,0.0118593816179585,2361,0,16,1,0.375636688764448,16,1,1.50254675505779,1
"164",164,"2009-02-13 13:48:51",10,1,3,1.15111355119388,0.173770491803279,0.0360655737704918,305,0,10,1,0.383704517064627,10,1,1.15111355119388,1
"165",165,"2008-05-15 14:25:48",8,1,1,0,0.00100603621730382,0,994,0,8,1,0,8,1,0,0
"166",166,"2015-08-14 12:10:10",11,1,6,2.41660790480999,0.0265519820493642,0.00037397157816006,2674,0,11,1,0.402767984134998,11,1,2.41660790480999,0
"167",167,"2007-11-06 19:44:58",9,1,3,1.52320357159405,0.0876095118898623,0.0337922403003755,799,0,9,1,0.507734523864682,9,1,1.52320357159405,1
"168",168,"2012-04-16 13:28:52",9,1,1,0,0.0491071428571429,0.00446428571428571,224,0,9,1,0,9,1,0,0
"169",169,"2010-10-05 10:26:14",9,1,1,0,0.00146341463414634,0.00048780487804878,2050,0,9,1,0,9,1,0,0
"170",170,"2009-11-19 12:25:52",10,1,2,0.968461008760162,0.0602055800293686,0.0102790014684288,681,0,10,1,0.484230504380081,10,1,0.968461008760162,0
"171",171,"2017-05-24 16:22:23",5,1,21,4.39231742277876,0.011214953271028,0.00841121495327103,2140,1,5,1,0.209157972513274,5,1,4.39231742277876,0
"172",172,"2014-02-06 12:57:18",0,0,1,0,0.00062266500622665,0.00062266500622665,1606,1,0,0,0,0,0,0,0
"173",173,"2008-12-02 20:54:32",16,1,3,1.09463314452507,0.663602941176471,0.00183823529411765,544,0,16,1,0.364877714841691,16,1,1.09463314452507,0
"174",174,"2006-09-14 07:16:11",12,1,7,1.76722930781708,0.0971896955503513,0.0179547228727557,2562,1,12,1,0.252461329688155,12,1,1.76722930781708,0
"175",175,"2014-01-06 11:49:38",8,1,1,0,0.038961038961039,0.0173160173160173,231,0,8,1,0,8,1,0,0
"176",176,"2009-09-02 16:14:19",13,2,3,0.54895443442504,0.136200716845878,0.014336917562724,558,1,13,2,0.182984811475013,13,2,0.54895443442504,1
"177",177,"2006-01-05 08:26:37",8,1,1,0,0.39678510998308,0.351945854483926,1182,0,8,1,0,8,1,0,1
"178",178,"2015-07-16 18:23:24",110,21,97,6.02062546172583,0.206918438590924,0.00571247223103777,18906,0,110,21,0.0620683037291322,110,21,6.02062546172583,1
"179",179,"2017-12-18 21:34:23",0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"180",180,"2009-01-12 17:51:08",8,1,1,0,0.0078125,0.0078125,128,0,8,1,0,8,1,0,0
"181",181,"2006-01-03 21:01:10",11,1,4,1.59263349577695,0.0424628450106157,0.0424628450106157,471,0,11,1,0.398158373944239,11,1,1.59263349577695,0
"182",182,"2013-03-29 13:34:34",20,4,14,3.08367191609428,0.0422411264300381,0.117336462305661,3409,0,20,4,0.22026227972102,20,4,3.08367191609428,0
"183",183,"2006-10-30 12:20:57",15,1,2,0.11611507530477,0.96969696969697,0,66,0,15,1,0.0580575376523849,15,1,0.11611507530477,0
"184",184,"2010-08-06 13:50:58",10,1,2,1,0.00173010380622837,0.00173010380622837,1156,0,10,1,0.5,10,1,1,0
"185",185,"2014-11-25 15:30:13",10,1,1,0,0.0853658536585366,0.0528455284552846,246,0,10,1,0,10,1,0,0
"186",186,"2017-12-20 21:47:47",16,1,2,0.974240833488976,0.0618811881188119,0.0235148514851485,808,0,16,1,0.487120416744488,16,1,0.974240833488976,0
"187",187,"2013-09-03 00:37:33",21,2,5,1.52994726338009,0.145077720207254,0.0145077720207254,965,0,21,2,0.305989452676018,21,2,1.52994726338009,0
"188",188,"2013-09-03 00:30:48",9,1,2,0.991076059838222,0.0362903225806452,0,248,0,9,1,0.495538029919111,9,1,0.991076059838222,0
"189",189,"2007-03-12 15:49:58",9,1,1,0,0.00093984962406015,0,1064,0,9,1,0,9,1,0,0
"190",190,"2014-08-05 12:43:36",16,1,2,0.999943507170797,0.365612648221344,0.0810276679841897,506,0,16,1,0.499971753585399,16,1,0.999943507170797,0
"191",191,"2013-10-02 00:28:32",9,1,3,0.916118213778296,0.0475,0.015,400,0,9,1,0.305372737926099,9,1,0.916118213778296,0
"192",192,"2019-01-17 19:32:51",151,13,51,4.6865232699717,0.0109046696303051,0.0480261408108211,26319,0,151,13,0.0918926131367,151,13,4.6865232699717,0
"193",193,"2017-05-08 11:53:55",9,1,1,0,0.00492610837438424,0,203,0,9,1,0,9,1,0,0
"194",194,"2010-12-10 18:14:05",15,1,2,0.0377501851767354,0.150641025641026,0.115384615384615,936,0,15,1,0.0188750925883677,15,1,0.0377501851767354,0
"195",195,"2006-09-30 02:06:59",8,1,1,0,0.0164473684210526,0.00394736842105263,1520,0,8,1,0,8,1,0,0
"196",196,"2007-01-25 11:54:12",8,1,1,0,0.00110987791342952,0.00110987791342952,901,1,8,1,0,8,1,0,0
"197",197,"2006-10-19 17:06:27",7,1,1,0,0.0321027287319422,0.00481540930979133,623,0,7,1,0,7,1,0,0
"198",198,"2008-12-10 07:13:15",0,0,1,0,0.0036231884057971,0,1380,0,0,0,0,0,0,0,0
"199",199,"2010-02-16 18:19:36",8,1,1,0,0.003003003003003,0.003003003003003,333,1,8,1,0,8,1,0,0
"200",200,"2007-10-23 13:52:21",5,1,1,0,0.00371057513914657,0.00371057513914657,539,1,5,1,0,5,1,0,0
